Thu Feb  8 10:24:30 2024    my_apt_imp.pyprofile

         352755 function calls (352749 primitive calls) in 0.224 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2836(min)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       11    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/utils/arraywrapper.py:66(attr)
       13    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.015    0.015 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1197(repeat)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:1398(_getitem_axis)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:6230(__finalize__)
       13    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atom.py:43(__init__)
       19    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:490(set_array)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:546(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1610(_log)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:2134(__getattr__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:1177(__getitem__)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/function_base.py:5150(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1467(debug)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:438(pbc)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1595(makeRecord)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/periodic_table.py:37(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copy.py:128(deepcopy)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/cell.py:195(copy)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexes/base.py:5084(values)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1690(callHandlers)
        1    0.000    0.000    0.002    0.002 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2421(all)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/frame.py:4614(_get_item_cache)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:1380(_get_label)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2820(external_values)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1392(np_find_common_type)
       18    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1253(iget)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:862(get_species_symbols)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:23(atleast_1d)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2979(prod)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:399(get_cell)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2709(new_block)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:2344(set_constraint)
       10    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:565(set_tags)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1636(handle)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/managers.py:1999(external_values)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/frame.py:672(_constructor_sliced_from_mgr)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:249(external_values)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:278(__init__)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:2468(set_initial_magnetic_moments)
       36    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copyreg.py:113(_slotnames)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1561(findCaller)
        5    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:309(set_constraint)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:585(_get_axis)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2692(max)
       19    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copy.py:259(_reconstruct)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/common.py:137(is_object_dtype)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:186(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:194(_is_internal_frame)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/_methods.py:55(_any)
        7    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/shape_base.py:1267(<genexpr>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/base.py:378(interleaved_dtype)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/series.py:784(values)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:870(<listcomp>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:441(copy)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/periodic_table.py:73(_init_mendeleev)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:6295(__setattr__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:6278(__getattr__)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/function_base.py:348(iterable)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atom.py:84(__init__)
       16    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:215(_vhstack_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3832(product)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:277(set_species)
